"","wave","tax.compliance","tax.compliance.1","compliance.binary","trust.president","trust.parl","education","female","urban","LPI","age","demo.satisfaction","compulsory.tax","tax.evasion","employed","corrupt.officials","serv.index","COUNTRY"
"1","wave5",3,0.75,0,3,1,5,0,0,0,48,0.25,0.25,0.33,1,0.67,NA,"Algeria"
"2","wave5",4,1,1,2,1,5,1,0,0,36,0.5,0.5,0.67,1,1,NA,"Algeria"
"3","wave5",4,1,1,2,2,5,0,0,0.75,34,0.75,0.75,0.33,1,0.33,NA,"Algeria"
"4","wave5",3,0.75,0,2,1,6,1,0,1.25,23,NA,0.75,0.33,1,0.67,NA,"Algeria"
"5","wave5",0,0,0,2,0,2,0,0,1.25,41,0.75,0.25,0.67,1,0.33,NA,"Algeria"
"6","wave5",4,1,1,2,NA,4,1,0,0,38,NA,0.75,0,0,NA,NA,"Algeria"
"7","wave5",3,0.75,0,3,1,7,0,0,1.5,45,0.5,0.75,0.67,1,0.33,NA,"Algeria"
"8","wave5",4,1,1,2,1,4,1,0,0.5,20,0.75,0.75,0.33,0,0.33,NA,"Algeria"
"9","wave5",4,1,1,3,0,4,0,0,0,50,0.75,0.5,0.33,1,0.67,NA,"Algeria"
"10","wave5",4,1,1,2,2,7,1,0,0,21,0.5,0.75,0.67,0,0.67,NA,"Algeria"
"11","wave5",2,0.5,0,2,NA,4,0,0,0,23,0.5,NA,0,0,0.33,NA,"Algeria"
"12","wave5",1,0.25,0,1,0,1,1,0,0,34,0.25,0.25,0,1,0.33,NA,"Algeria"
"13","wave5",1,0.25,0,3,2,7,0,0,0.25,36,0.75,0.25,0.67,1,0.33,NA,"Algeria"
"14","wave5",2,0.5,0,2,1,5,1,0,0.75,35,0.5,0.75,0,1,0.33,NA,"Algeria"
"15","wave5",4,1,1,3,1,0,0,0,1.5,61,0.5,0.5,0.33,0,0.33,NA,"Algeria"
"16","wave5",4,1,1,1,NA,4,1,0,0,23,0.5,0.25,0,0,0.67,NA,"Algeria"
"17","wave5",4,1,1,3,2,3,0,0,0,22,0.5,0.75,0.33,1,0.33,NA,"Algeria"
"18","wave5",4,1,1,2,2,5,1,0,0,19,0.5,0.25,0.33,0,0.33,NA,"Algeria"
"19","wave5",4,1,1,2,3,6,0,0,0.75,50,0.75,0.75,0.33,0,0.33,NA,"Algeria"
"20","wave5",3,0.75,0,2,2,0,1,0,0.75,66,0.5,0.25,0,0,0.33,NA,"Algeria"
