"","wave","tax.compliance","tax.compliance.1","compliance.binary","trust.president","trust.parl","education","female","urban","LPI","age","demo.satisfaction","compulsory.tax","tax.evasion","employed","corrupt.officials","serv.index","COUNTRY"
"1","wave6",4,1,1,3,2,2,0,0,0.5,27,NA,0.5,NA,1,NA,0.4,"Algeria"
"2","wave6",4,1,1,1,1,2,1,0,0,30,0.75,1,NA,0,0.67,0.4,"Algeria"
"3","wave6",4,1,1,1,1,8,0,0,0,62,0.75,0.25,NA,0,0.67,0.4,"Algeria"
"4","wave6",4,1,1,2,1,5,1,0,0.5,30,0.75,1,NA,1,0.67,0.4,"Algeria"
"5","wave6",4,1,1,2,0,4,0,0,0.75,35,0.75,0.5,NA,1,0.33,0.4,"Algeria"
"6","wave6",4,1,1,2,1,7,1,0,1,21,0.75,1,NA,0,0.33,0.4,"Algeria"
"7","wave6",0,0,0,NA,NA,0,0,0,0.5,33,0.5,0.75,NA,1,NA,0.4,"Algeria"
"8","wave6",NA,NA,NA,3,2,7,1,0,0,23,1,0.5,NA,0,0.67,0.4,"Algeria"
"9","wave6",4,1,1,0,1,2,0,0,2.5,41,0.25,0.5,NA,1,0.33,0.5,"Algeria"
"10","wave6",4,1,1,2,2,9,1,0,0,27,0.75,0.75,NA,1,0.33,0.5,"Algeria"
"11","wave6",4,1,1,0,0,5,0,0,1.5,32,0.25,0.75,NA,1,0.67,0.5,"Algeria"
"12","wave6",4,1,1,3,2,4,1,0,0,37,0.75,0.75,NA,0,0.33,0.5,"Algeria"
"13","wave6",4,1,1,1,1,9,0,0,0,43,1,0.75,NA,1,0.33,0.5,"Algeria"
"14","wave6",3,0.75,0,2,2,8,1,0,0,35,1,0.5,NA,1,0,0.5,"Algeria"
"15","wave6",4,1,1,1,1,2,0,0,0,53,0.75,0.75,NA,0,0.33,0.5,"Algeria"
"16","wave6",3,0.75,0,1,1,8,1,0,2.5,25,0.75,0.5,NA,1,0.33,0.5,"Algeria"
"17","wave6",4,1,1,3,2,8,0,1,0.5,27,0.75,1,NA,1,0.33,1,"Algeria"
"18","wave6",NA,NA,NA,2,3,0,1,1,0.5,69,NA,1,NA,0,NA,1,"Algeria"
"19","wave6",4,1,1,0,0,3,0,1,1,42,0.25,0.75,NA,1,0.67,1,"Algeria"
"20","wave6",NA,NA,NA,2,NA,2,1,1,0,18,0.5,0.75,NA,0,0.67,1,"Algeria"
"21","wave6",0,0,0,3,1,5,0,1,0,19,1,0.5,NA,0,0.33,1,"Algeria"
"22","wave6",4,1,1,0,0,9,1,1,1.5,24,0.5,0.5,NA,0,0.33,1,"Algeria"
"23","wave6",4,1,1,3,0,2,0,1,0.5,65,0.75,1,NA,0,0.67,1,"Algeria"
"24","wave6",4,1,1,3,3,1,1,1,0,62,0.75,1,NA,0,0.33,1,"Algeria"
"25","wave6",4,1,1,1,0,6,0,1,0,19,0.25,0.5,NA,1,0.67,1,"Algeria"
"26","wave6",NA,NA,NA,2,1,5,1,1,3.75,32,0.5,0.75,NA,0,0.67,1,"Algeria"
"27","wave6",4,1,1,2,1,7,0,1,3.75,60,0.5,0.75,NA,0,1,1,"Algeria"
"28","wave6",4,1,1,2,1,3,1,1,3.75,21,0.5,1,NA,0,0.67,1,"Algeria"
"29","wave6",4,1,1,1,0,8,0,1,0,27,0.5,0.75,NA,1,0.67,1,"Algeria"
"30","wave6",4,1,1,1,0,2,1,1,0,46,0.5,0.75,NA,0,0.67,1,"Algeria"
"31","wave6",4,1,1,1,0,2,0,1,1,33,0.5,0.75,NA,0,0.67,1,"Algeria"
"32","wave6",4,1,1,1,0,1,1,1,2.5,53,0.5,0.75,NA,0,0.67,1,"Algeria"
"33","wave6",4,1,1,1,0,5,0,1,0,29,0.5,0.75,NA,1,0.67,NA,"Algeria"
"34","wave6",4,1,1,1,0,7,1,1,0,40,0.25,0.5,NA,1,0.67,NA,"Algeria"
"35","wave6",4,1,1,3,2,3,0,1,0,55,0.5,0.75,NA,1,0.67,NA,"Algeria"
"36","wave6",4,1,1,2,1,4,1,1,0,36,0.25,0.25,NA,0,0.67,NA,"Algeria"
"37","wave6",4,1,1,3,2,8,0,1,0,27,1,1,NA,0,0.33,NA,"Algeria"
"38","wave6",4,1,1,0,2,1,1,1,0,41,0.75,0.75,NA,0,0.33,NA,"Algeria"
"39","wave6",4,1,1,3,2,4,0,1,0,25,0.75,0.75,NA,0,0,NA,"Algeria"
"40","wave6",0,0,0,2,1,5,1,1,0,33,0.75,0.25,NA,1,0.33,NA,"Algeria"
"41","wave6",4,1,1,0,0,8,0,1,0,26,0.25,1,NA,0,0.67,1,"Algeria"
"42","wave6",4,1,1,2,2,8,1,1,0,33,0.75,0.5,NA,1,0.67,1,"Algeria"
"43","wave6",4,1,1,0,0,2,0,1,1.25,71,NA,0.25,NA,0,1,1,"Algeria"
"44","wave6",4,1,1,1,2,7,1,1,0,29,0.75,0.75,NA,1,0.33,1,"Algeria"
"45","wave6",4,1,1,2,2,4,0,1,0,27,0.75,0.75,NA,1,0.33,1,"Algeria"
"46","wave6",3,0.75,0,2,0,2,1,1,0,45,0.5,0.5,NA,0,0.67,1,"Algeria"
"47","wave6",3,0.75,0,3,0,1,0,1,0,62,0.5,0,NA,0,0.33,1,"Algeria"
"48","wave6",4,1,1,1,1,3,1,1,0,33,1,0.75,NA,0,0.67,1,"Algeria"
"49","wave6",3,0.75,0,3,0,NA,0,1,0.5,34,0.5,0,NA,1,1,1,"Algeria"
"50","wave6",4,1,1,3,2,9,1,1,0,24,0.75,1,NA,0,0.67,1,"Algeria"
"51","wave6",4,1,1,0,0,6,0,1,1,53,0.25,1,NA,1,0.67,1,"Algeria"
"52","wave6",4,1,1,3,1,1,1,1,0,73,0.75,0.75,NA,0,0.33,1,"Algeria"
"53","wave6",3,0.75,0,3,0,3,0,1,0,30,0.5,0,NA,1,0.67,1,"Algeria"
